model_id,base_model,model,seq_len,pred_len,label_len,batch_size,learning_rate,train_epochs,d_model,n_heads,e_layers,model_layers,d_ff,dropout,patch_size,kernel_size,loss_func,pretrain,freeze,stride,hid_dim,data_path,features,target,embed,percent,freq,enc_in,c_out,decay_fac,lradj,patience,max_len,tmax,itr,cos,iteration,mse,mae,train_time,final_train_loss,final_vali_loss,epochs_trained,experiment_timestamp,mse_std,mae_std,total_iterations,total_experiments
ETTh1_GPT4TS__336_96_100,gpt2,GPT4TS,336,96,168,256,0.0001,10,768,4,3,6.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.3809156,0.4011214,613.5764927864075,0.3124057030571358,0.7124836,8.0,2025-07-22 18:02:37,,,,
ETTh1_GPT4TS__336_192_100,gpt2,GPT4TS,336,192,168,256,0.0001,10,768,4,3,6.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.4235700070858001,0.4249273538589477,262.2049970626831,0.3812084740103639,0.95954025,4.0,2025-07-22 18:07:09,,,,
ETTh1_GPT4TS__336_336_100,gpt2,GPT4TS,336,336,168,256,0.0001,10,768,4,3,6.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.4445349276065826,0.4364189207553863,257.578293800354,0.4282178674150722,1.2574869,4.0,2025-07-22 18:11:36,,,,
ETTh1_GPT4TS__336_720_100,gpt2,GPT4TS,336,720,168,256,0.0001,10,768,4,3,6.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.4458657801151275,0.4585369229316711,246.427013874054,0.5229988731623848,1.5813588,4.0,2025-07-22 18:15:52,,,,
ETTh1_GPT4TS__336_96_100,gpt2,GPT4TS,336,96,168,256,0.0001,10,768,4,3,12.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.3919307589530945,0.4086391031742096,2439.001961708069,0.3171940467852567,0.7121858,10.0,2025-07-22 21:17:49,,,,
ETTh1_GPT4TS__336_192_100,gpt2,GPT4TS,336,192,168,256,0.0001,10,768,4,3,12.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.435439795255661,0.4304999113082886,1883.592252492905,0.3681149250781374,0.98178226,8.0,2025-07-22 21:49:38,,,,
ETTh1_GPT4TS__336_336_100,gpt2,GPT4TS,336,336,168,256,0.0001,10,768,4,3,12.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.464508444070816,0.4456327557563782,1185.2181475162506,0.4314269095247242,1.2563704,6.0,2025-07-22 22:09:41,,,,
ETTh1_GPT4TS__336_720_100,gpt2,GPT4TS,336,720,168,256,0.0001,10,768,4,3,12.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.4798288345336914,0.4719303250312805,509.2597982883453,0.5435383934617618,1.5489184,4.0,2025-07-22 22:18:27,,,,
ETTh1_GPT4TS__336_96_100,gpt2,GPT4TS,336,96,168,256,0.0001,10,768,4,3,3.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.3732385337352752,0.3969230055809021,326.24898743629456,0.3182696625590324,0.72640085,8.0,2025-07-22 22:27:19,,,,
ETTh1_GPT4TS__336_192_100,gpt2,GPT4TS,336,192,168,256,0.0001,10,768,4,3,3.0,768,0.3,16,25,mse,1,1,8,16,ETTh1.csv,M,OT,timeF,100,h,7,7,0.5,type4,3,-1,20,1,1,1,0.4152697324752807,0.4214664399623871,421.8366146087647,0.3745688210785119,1.0099851,6.0,2025-07-22 22:57:41,,,,
